"pais";"Location";"alpha.2";"lng";"lat"
"United States of America";"SACRAMENTO";"US";"-121.4944";"38.58157"
"United States of America";"ST.FRANCISVILLE";"US";"-91.3765";"30.7799"
"United States of America";"SAN CLEMENTE";"US";"-117.61199";"33.42697"
"United States of America";"SEABROOK";"US";"-76.85108";"38.96835"
"United States of America";"DAISY";"US";"-85.19079";"35.2359"
"United States of America";"NEW HILL";"US";"-74.74294";"40.21705"
"United States of America";"SHOREHAM";"US";"-71.55783";"41.17233"
"United States of America";"BAY CITY";"US";"-83.88886";"43.59447"
"United States of America";"FORT PIERCE";"US";"-80.32561";"27.44671"
"United States of America";"GRAVEL NECK";"US";"-76.6894";"37.16043"
"United States of America";"DAUPHIN";"US";"-76.88442";"40.2737"
"United States of America";"PRESCOTT";"US";"-112.4685";"34.54002"
"United States of America";"FLORIDA CITY";"US";"-85.65983";"30.15946"
"United States of America";"VERNON";"US";"-73.83708";"40.9126"
"United States of America";"JENKINSVILLE";"US";"-90.36985";"42.63472"
"United States of America";"WAYNESBORO";"US";"-78.88947";"38.06847"
"United States of America";"TAFT";"US";"-119.45651";"35.14247"
"United States of America";"SPRING CITY";"US";"-116.54529";"33.8303"
"United States of America";"BURLINGTON";"US";"-73.21207";"44.47588"
"United States of America";"BENTON";"US";"-123.26204";"44.56457"
"United States of America";"ROWE";"US";"-72.89954";"42.69342"
"United States of America";"ZION";"US";"-113.02644";"37.29824"
"United States of America";"Lincoln";"US";"-96.66696";"40.8"
"United States of America";"Pleasanton, Sunol";"US";NA;NA
"United States of America";"Piqua";"US";"-84.24244";"40.14477"
"Taiwan, China";"SHIHMEN HSIANG";"TW";"121.56623";"PPL"
"Taiwan, China";"KUOSHENG";"TW";NA;NA
"Taiwan, China";"HENG CHUN";"TW";"120.74389";"PPLA3"
